"","name","handedness","height","avg","HR","summary"
"1","Denny Lemaster","R",73,0.13,4,0
"2","Joe Nolan","L",71,0.263,27,0
"3","Denny Doyle","L",69,0.25,16,0
"4","Jose Cardenal","R",70,0.275,138,0
"5","Mike Ryan","R",74,0.193,28,0
"6","Fritz Peterson","B",72,0.159,2,0
"7","Dick Bertell","R",72,0.25,10,0
"8","Rod Kanehl","R",73,0.241,6,0
"9","Juan Bonilla","R",69,0.256,7,0
"10","Frank Tepedino","L",71,0.241,6,0
"11","Rick Wise","R",73,0.195,15,0
"12","Darrell Evans","L",74,0.248,414,0
"13","Buck Martinez","R",70,0.225,58,0
"14","John Wockenfuss","R",72,0.262,86,0
"15","Tommy McCraw","L",72,0.246,75,0
"16","Lee Lacy","R",73,0.286,91,0
"17","Pete Rose","B",71,0.303,160,0
"18","Danny Walton","R",72,0.223,28,0
"19","Bobby Cox","R",71,0.225,9,0
"20","Brad Wellman","R",72,0.231,6,0
"21","Jeff Newman","R",74,0.224,63,0
"22","Pedro Gonzalez","R",72,0.244,8,0
"23","Tommie Reynolds","R",74,0.226,12,0
"24","Gene Clines","R",69,0.277,5,0
"25","Jim Hickman","R",75,0.252,159,0
"26","Jack Billingham","R",76,0.111,0,0
"27","Jerry Buchek","R",71,0.22,22,0
"28","Ivan DeJesus","R",71,0.254,21,0
"29","Gary Nolan","R",74,0.138,1,0
"30","Fred Whitfield","L",73,0.253,108,0
"31","Larry Dierker","R",76,0.136,4,0
"32","Dave Skaggs","R",74,0.241,3,0
"33","Dick Ruthven","R",75,0.183,1,0
"34","Dave Kingman","R",78,0.236,442,0
"35","Eric Soderholm","R",71,0.264,102,0
"36","Ed Brinkman","R",72,0.224,60,0
"37","Wayne Garrett","L",71,0.239,61,0
"38","Tony Muser","L",74,0.259,7,0
"39","Ted Ford","R",70,0.219,17,0
"40","Jim Lyttle","L",72,0.248,9,0
"41","Scot Thompson","L",75,0.262,5,0
"42","Gene Locklear","L",70,0.274,9,0
"43","Bo Diaz","R",71,0.255,87,0
"44","Bump Wills","B",69,0.266,36,0
"45","Pat Putnam","L",72,0.255,63,0
"46","Kurt Bevacqua","R",72,0.236,27,0
"47","Syd O'Brien","R",73,0.23,24,0
"48","Chris Chambliss","L",73,0.279,185,0
"49","Tom Satriano","L",73,0.225,21,0
"50","Jeffrey Leonard","R",74,0.266,144,0
"51","Dal Maxvill","R",71,0.217,6,0
"52","Cesar Tovar","R",69,0.278,46,0
"53","Mickey Lolich","B",73,0.11,0,0
"54","Jack Heidemann","R",72,0.211,9,0
"55","Rich Rollins","R",70,0.269,77,0
"56","Walt Bond","L",79,0.256,41,0
"57","Merv Rettenmund","R",70,0.271,66,0
"58","Byron Browne","R",74,0.236,30,0
"59","Hector Torres","R",72,0.216,18,0
"60","Walt Williams","R",66,0.27,33,0
"61","Jerry Koosman","R",74,0.119,2,0
"62","Steve Lombardozzi","R",72,0.233,20,0
"63","Joe Azcue","R",72,0.252,50,0
"64","Elliott Maddox","R",71,0.261,18,0
"65","Omar Moreno","L",74,0.252,37,0
"66","Julian Javier","R",73,0.257,78,0
"67","Elio Chacon","R",69,0.232,4,0
"68","Rusty Torres","B",70,0.212,35,0
"69","John Stearns","R",72,0.26,46,0
"70","Larry Brown","R",70,0.233,47,0
"71","Tommy Dean","R",72,0.18,4,0
"72","Marty Martinez","B",72,0.243,0,0
"73","Bruce Boisclair","L",74,0.263,10,0
"74","Ken Singleton","B",76,0.282,246,0
"75","Frank White","R",71,0.255,160,0
"76","Jim Fairey","L",70,0.235,7,0
"77","Tom Brookens","R",70,0.246,71,0
"78","Gary Thomasson","L",73,0.249,61,0
"79","Otto Velez","R",72,0.251,78,0
"80","Tony Scott","B",72,0.249,17,0
"81","Ray Oyler","R",71,0.175,15,0
"82","Floyd Robinson","L",69,0.283,67,0
"83","Steve Jeltz","B",71,0.21,5,0
"84","Lou Brock","L",71,0.293,149,0
"85","Joe Lovitto","B",72,0.216,4,0
"86","Wayne Comer","R",70,0.229,16,0
"87","Dave Collins","B",71,0.272,32,0
"88","Ed Spiezio","R",71,0.238,39,0
"89","Rico Petrocelli","R",72,0.251,210,0
"90","Johnny Lewis","L",73,0.227,22,0
"91","Dick Simpson","R",76,0.207,15,0
"92","Ken Boswell","L",72,0.248,31,0
"93","Ken McMullen","R",75,0.248,156,0
"94","Steve Swisher","R",74,0.216,20,0
"95","Dick Howser","R",68,0.248,16,0
"96","Manny Castillo","B",69,0.242,3,0
"97","Mike Ramsey","B",73,0.24,2,0
"98","Willie Crawford","L",73,0.268,86,0
"99","Willie Norwood","R",72,0.242,18,0
"100","Jeff Stone","L",72,0.277,11,0
"101","Joe Lahoud","L",73,0.223,65,0
"102","Tim Flannery","L",71,0.255,9,0
"103","Dave McKay","B",73,0.229,21,0
"104","Benny Ayala","R",73,0.251,38,0
"105","Greg Gross","L",70,0.287,7,0
"106","Sal Butera","R",72,0.227,8,0
"107","Jack Brohamer","L",70,0.245,30,0
"108","Von Joshua","L",70,0.273,30,0
"109","Eddie Milner","L",71,0.253,42,0
"110","Johnny Jeter","R",73,0.244,18,0
"111","Angel Salazar","R",72,0.212,2,0
"112","Tony Oliva","L",73,0.304,220,0
"113","Cito Gaston","R",75,0.256,91,0
"114","Cookie Rojas","R",70,0.263,54,0
"115","Rich Morales","R",71,0.195,6,0
"116","Dan Ford","R",73,0.27,121,0
"117","Darryl Motley","R",69,0.243,44,0
"118","Ozzie Virgil","R",73,0.243,98,0
"119","Johnny Oates","L",71,0.25,14,0
"120","Mike Phillips","L",72,0.24,11,0
"121","Ron Santo","R",72,0.277,342,0
"122","Jay Johnstone","L",73,0.267,102,0
"123","Jim Ray Hart","R",71,0.278,170,0
"124","Marc Hill","R",75,0.223,34,0
"125","Chico Salmon","R",70,0.249,31,0
"126","Joe Niekro","R",73,0.156,1,0
"127","Andy Etchebarren","R",73,0.235,49,0
"128","Ken Berry","R",72,0.255,58,0
"129","Dave Concepcion","R",74,0.267,101,0
"130","Junior Moore","R",71,0.264,7,0
"131","Mike Richardt","R",72,0.226,4,0
"132","Chris Brown","R",72,0.269,38,0
"133","Al Bumbry","L",68,0.281,54,0
"134","Al Downing","R",71,0.127,2,0
"135","Bob Didier","B",72,0.229,0,0
"136","Jake Gibbs","L",72,0.233,25,0
"137","Garry Hancock","L",72,0.247,12,0
"138","Ed Kranepool","L",75,0.261,118,0
"139","Rick Rhoden","R",75,0.238,9,0
"140","Denny McLain","R",73,0.133,1,0
"141","Chuck Hiller","L",71,0.243,20,0
"142","Jorge Orta","L",70,0.278,130,0
"143","Dave Cash","R",71,0.283,21,0
"144","Bucky Dent","R",69,0.247,40,0
"145","Tony Gonzalez","L",69,0.286,103,0
"146","Larry Haney","R",74,0.215,12,0
"147","Billy Conigliaro","R",72,0.256,40,0
"148","Gary Roenicke","R",75,0.247,121,0
"149","Don Lock","R",74,0.238,122,0
"150","Billy Cowan","R",72,0.236,40,0
"151","Billy Smith","B",74,0.23,17,0
"152","Tony Perez","R",74,0.279,379,0
"153","Chuck Schilling","R",70,0.239,23,0
"154","Hal McRae","R",71,0.29,191,0
"155","Dave Roberts","R",75,0.239,49,0
"156","Jim Lefebvre","B",72,0.251,74,0
"157","Charlie Spikes","R",75,0.246,65,0
"158","Steve Whitaker","L",72,0.23,24,0
"159","Manny Jimenez","L",73,0.272,26,0
"160","Duffy Dyer","R",72,0.221,30,0
"161","Ken Henderson","B",74,0.257,122,0
"162","Vern Fuller","R",73,0.232,14,0
"163","Wayne Gross","L",74,0.233,121,0
"164","Mike Champion","R",72,0.229,2,0
"165","Paul Casanova","R",76,0.225,50,0
"166","Steve Rogers","R",74,0.138,0,0
"167","Terry Crowley","L",72,0.25,42,0
"168","Horace Clarke","B",69,0.256,27,0
"169","Lou Clinton","R",73,0.247,65,0
"170","Larry Cox","R",70,0.221,12,0
"171","Nate Colbert","R",74,0.243,173,0
"172","Phil Roof","R",74,0.215,43,0
"173","Chuck Hinton","R",73,0.264,113,0
"174","Tim Cullen","R",73,0.22,9,0
"175","Tim Harkness","L",74,0.235,14,0
"176","Rick Bosetti","R",71,0.25,17,0
"177","Ron Pruitt","R",72,0.269,12,0
"178","George Foster","R",73,0.274,348,0
"179","Jerry White","B",70,0.253,21,0
"180","Angel Mangual","R",70,0.245,22,0
"181","Ken Gerhart","R",72,0.221,24,0
"182","Mike Hershberger","R",70,0.252,26,0
"183","Jim French","L",68,0.196,5,0
"184","Dave Roberts","L",75,0.194,7,0
"185","Jim Mason","L",74,0.203,12,0
"186","Willie Smith","L",72,0.248,46,0
"187","Jose Arcia","R",75,0.215,1,0
"188","Leon Durham","L",73,0.277,147,0
"189","Paul Householder","B",72,0.236,29,0
"190","Aurelio Rodriguez","R",70,0.237,124,0
"191","Jimmy Stewart","B",72,0.237,8,0
"192","Dick Phillips","L",72,0.229,12,0
"193","Andres Thomas","R",73,0.234,42,0
"194","Ed Crosby","L",74,0.22,0,0
"195","Mike de la Hoz","R",71,0.251,25,0
"196","Frank Taveras","R",72,0.255,2,0
"197","Joe Nossek","R",72,0.228,3,0
"198","Larry Stahl","L",72,0.232,36,0
"199","Jose Cruz","L",72,0.284,165,0
"200","Don Mason","L",71,0.205,3,0
"201","Bill Robinson","R",74,0.258,166,0
"202","Sal Bando","R",72,0.254,242,0
"203","George Mitterwald","R",74,0.236,76,0
"204","Craig Robinson","R",70,0.219,0,0
"205","Bob Tillman","R",76,0.232,79,0
"206","Pat Corrales","R",72,0.216,4,0
"207","Mike Tyson","R",69,0.241,27,0
"208","Rafael Landestoy","B",70,0.237,4,0
"209","Duane Josephson","R",72,0.258,23,0
"210","Duane Walker","L",72,0.229,24,0
"211","Glenn Hubbard","R",69,0.244,70,0
"212","Roger Freed","R",72,0.245,22,0
"213","George Hendrick","R",75,0.278,267,0
"214","Rod Carew","L",72,0.328,92,0
"215","Bob Davis","R",72,0.197,6,0
"216","Toby Harrah","R",72,0.264,195,0
"217","Rick Manning","L",73,0.257,56,0
"218","Gary Matthews","R",74,0.281,234,0
"219","Cesar Geronimo","L",72,0.258,51,0
"220","Billy Bryan","L",76,0.216,41,0
"221","Terry Whitfield","L",73,0.281,33,0
"222","Mario Mendoza","R",71,0.215,4,0
"223","Fred Lynn","L",73,0.283,306,0
"224","Larry Hisle","R",74,0.273,166,0
"225","Graig Nettles","L",72,0.248,390,0
"226","Dave Engle","R",75,0.262,31,0
"227","Mike Easler","L",72,0.293,118,0
"228","Rick Sweet","B",73,0.234,6,0
"229","Thurman Munson","R",71,0.292,113,0
"230","Rick Monday","L",75,0.264,241,0
"231","Mike Sadek","R",69,0.226,5,0
"232","Mark Belanger","R",73,0.228,20,0
"233","Ron Hunt","R",72,0.273,39,0
"234","Joe Keough","L",72,0.246,9,0
"235","Vic Correll","R",70,0.229,29,0
"236","Jackie Hernandez","R",71,0.208,12,0
"237","Tony Solaita","L",72,0.255,50,0
"238","U L Washington","B",71,0.251,27,0
"239","Joe Foy","R",72,0.248,58,0
"240","Ed Goodson","L",75,0.26,30,0
"241","Mickey Klutts","R",71,0.241,14,0
"242","Leroy Stanton","R",73,0.244,77,0
"243","Danny Ainge","R",76,0.22,2,0
"244","Adolfo Phillips","R",73,0.247,59,0
"245","Marv Breeding","R",72,0.25,7,0
"246","Dick McAuliffe","L",71,0.247,197,0
"247","Joe Horlen","R",72,0.134,0,0
"248","Glenn Burke","R",72,0.237,2,0
"249","Terry Humphrey","R",75,0.211,6,0
"250","Enzo Hernandez","R",68,0.224,2,0
"251","Cesar Gutierrez","R",69,0.235,0,0
"252","Coco Laboy","R",70,0.233,28,0
"253","Ted Kubiak","B",72,0.231,13,0
"254","Jim Morrison","R",71,0.26,112,0
"255","Bobby Knoop","R",73,0.236,56,0
"256","Bobby Brown","B",74,0.245,26,0
"257","Tom Hutton","L",71,0.248,22,0
"258","Ron Hodges","L",73,0.24,19,0
"259","Rich Chiles","L",71,0.254,6,0
"260","Tom Paciorek","R",76,0.282,86,0
"261","Gary Woods","R",74,0.243,13,0
"262","Bob Montgomery","R",73,0.258,23,0
"263","Jeff Burroughs","R",73,0.261,240,0
"264","Rusty Staub","L",74,0.279,292,0
"265","Jim Norris","L",70,0.264,7,0
"266","Oscar Gamble","L",71,0.265,200,0
"267","George Vukovich","L",72,0.268,27,0
"268","Craig Reynolds","L",73,0.256,42,0
"269","Paul Blair","R",72,0.25,134,0
"270","Al Cowens","R",73,0.27,108,0
"271","Al Oliver","L",72,0.303,219,0
"272","Dave Hilton","R",71,0.213,6,0
"273","Luis Alvarado","R",69,0.214,5,0
"274","Larry Parrish","R",75,0.263,256,0
"275","Woodie Fryman","R",75,0.138,2,0
"276","Bob Randall","R",74,0.257,1,0
"277","Jim Pankovits","R",70,0.25,9,0
"278","Carmen Fanzone","R",72,0.224,20,0
"279","Gary Allenson","R",71,0.221,19,0
"280","Milt May","L",72,0.263,77,0
"281","Mike Vail","R",73,0.279,34,0
"282","Nick Esasky","R",75,0.25,122,0
"283","Jim Nettles","L",72,0.22,16,0
"284","Chris Cannizzaro","R",72,0.235,18,0
"285","Larry Biittner","L",74,0.273,29,0
"286","Mel Stottlemyre","R",73,0.16,7,0
"287","Roy Smalley","B",73,0.257,163,0
"288","Andy Messersmith","R",73,0.17,5,0
"289","Richie Zisk","R",73,0.287,207,0
"290","Dave Chalk","R",70,0.252,15,0
"291","Don Baylor","R",73,0.26,338,0
"292","John Vukovich","R",73,0.161,6,0
"293","Danny Thompson","R",72,0.248,15,0
"294","Joe Simpson","L",75,0.242,9,0
"295","Bill Fahey","L",72,0.241,7,0
"296","Doug Camilli","R",71,0.199,18,0
"297","Bernie Allen","L",72,0.239,73,0
"298","Bruce Bochy","R",75,0.239,26,0
"299","Claudell Washington","L",72,0.278,164,0
"300","John Donaldson","L",71,0.238,4,0
"301","John Mayberry","L",75,0.253,255,0
"302","Ken Reitz","R",72,0.26,68,0
"303","Amos Otis","R",71,0.277,193,0
"304","Gene Alley","R",70,0.254,55,0
"305","Ted Sizemore","R",70,0.262,23,0
"306","Dan Briggs","L",72,0.195,12,0
"307","Doug Flynn","R",71,0.238,7,0
"308","Ken Holtzman","R",74,0.163,2,0
"309","Pete Ward","L",73,0.254,98,0
"310","Kevin Bell","R",72,0.222,13,0
"311","Tom Nieto","R",73,0.205,5,0
"312","Duke Sims","L",74,0.239,100,0
"313","Larvell Blanks","R",68,0.253,20,0
"314","Mike Davis","L",74,0.259,91,0
"315","Jerry Reuss","L",77,0.167,1,0
"316","Steve Yeager","R",72,0.228,102,0
"317","Danny Goodwin","L",73,0.236,13,0
"318","Bud Harrelson","B",71,0.236,7,0
"319","Bob Knepper","L",75,0.137,6,0
"320","Mickey Rivers","L",70,0.295,61,0
"321","Jim Northrup","L",75,0.267,153,0
"322","John Hale","L",74,0.201,14,0
"323","Pedro Garcia","R",70,0.22,37,0
"324","Carl Yastrzemski","L",71,0.285,452,0
"325","Derrel Thomas","B",72,0.249,43,0
"326","Art Howe","R",74,0.26,43,0
"327","Ike Brown","R",72,0.256,20,0
"328","Howie Goss","R",76,0.216,11,0
"329","Glenn Borgmann","R",76,0.229,16,0
"330","Lamar Johnson","R",74,0.287,64,0
"331","Julio Gonzalez","R",71,0.235,4,0
"332","Bobby Klaus","R",70,0.208,6,0
"333","Manny Sanguillen","R",72,0.296,65,0
"334","Gates Brown","L",71,0.257,84,0
"335","Johnny Ray","B",71,0.29,53,0
"336","Jesus Alou","R",74,0.28,32,0
"337","Ken Landreaux","L",70,0.268,91,0
"338","Enos Cabell","R",76,0.277,60,0
"339","Billy North","B",71,0.261,20,0
"340","Juan Beniquez","R",71,0.274,79,0
"341","Frank Fernandez","R",72,0.199,39,0
"342","Bombo Rivera","R",70,0.265,10,0
"343","Steve Brye","R",72,0.258,30,0
"344","Ron Jackson","R",72,0.259,56,0
"345","Roger Metzger","B",72,0.231,5,0
"346","Rufino Linares","R",72,0.27,11,0
"347","Ray Webster","L",72,0.244,17,0
"348","Bob Kearney","R",72,0.233,27,0
"349","Fergie Jenkins","R",77,0.165,13,0
"350","Dick Dietz","R",73,0.261,66,0
"351","Ted Cox","R",75,0.245,10,0
"352","Bobby Mitchell","L",70,0.243,3,0
"353","Bobby Mitchell","R",75,0.235,21,0
"354","Barry Evans","R",73,0.251,2,0
"355","Mickey Brantley","R",70,0.259,32,0
"356","Al Gallagher","R",72,0.263,11,0
"357","Hector Cruz","R",71,0.225,39,0
"358","Fred Norman","B",68,0.125,0,0
"359","Woody Woodward","R",74,0.236,1,0
"360","Ted Martinez","R",72,0.24,7,0
"361","Jim Anderson","R",72,0.218,13,0
"362","Lenn Sakata","R",69,0.23,25,0
"363","Dave Duncan","R",74,0.214,109,0
"364","Randy Jones","R",72,0.132,0,0
"365","Dick Billings","R",73,0.227,16,0
"366","Bruce Bochte","L",75,0.282,100,0
"367","Bernie Carbo","L",71,0.264,96,0
"368","Vic Davalillo","L",67,0.279,36,0
"369","Burt Hooton","R",73,0.123,4,0
"370","Fernando Gonzalez","R",70,0.235,17,0
"371","Jim Sundberg","R",72,0.248,95,0
"372","Andy Kosco","R",75,0.236,73,0
"373","Steve Huntz","B",73,0.206,16,0
"374","Lenny Faedo","R",72,0.251,5,0
"375","John Lowenstein","L",72,0.253,116,0
"376","Don Kessinger","B",73,0.252,14,0
"377","Joe Hague","L",72,0.239,40,0
"378","Bake McBride","L",74,0.299,63,0
"379","Dick Davis","R",75,0.265,27,0
"380","Richie Scheinblum","B",73,0.263,13,0
"381","Ed Herrmann","L",73,0.24,80,0
"382","Bob Molinaro","L",72,0.264,14,0
"383","Mike Hegan","L",73,0.242,53,0
"384","Mike Diaz","R",74,0.247,31,0
"385","Tim Foli","R",72,0.251,25,0
"386","Alan Knicely","R",72,0.213,12,0
"387","Tim Laudner","R",75,0.225,77,0
"388","Jose Morales","R",71,0.287,26,0
"389","Juan Marichal","R",72,0.165,4,0
"390","Vida Blue","B",72,0.104,4,0
"391","Stan Papi","R",72,0.218,7,0
"392","Rob Wilfong","L",73,0.248,39,0
"393","Steve Henderson","R",74,0.28,68,0
"394","Rob Picciolo","R",74,0.234,17,0
"395","Roberto Pena","R",68,0.245,13,0
"396","Bob Dernier","R",72,0.255,23,0
"397","Bill Melton","R",74,0.253,160,0
"398","Albert Hall","B",71,0.251,5,0
"399","Barbaro Garbey","R",70,0.267,11,0
"400","John Milner","L",72,0.249,131,0
"401","Rich Reese","L",75,0.253,52,0
"402","Chris Bando","B",72,0.227,27,0
"403","Bill Buckner","L",72,0.289,174,0
"404","Jack Hiatt","R",74,0.251,22,0
"405","Nelson Mathews","R",76,0.223,22,0
"406","Larry Lintz","B",69,0.227,0,0
"407","Ron Theobald","R",68,0.248,2,0
"408","Rafael Santana","R",73,0.246,13,0
"409","Jerry Hairston","B",70,0.258,30,0
"410","Tommie Aaron","R",75,0.229,13,0
"411","Steve Dillard","R",73,0.243,13,0
"412","George Scott","R",74,0.268,271,0
"413","Ken Walters","R",73,0.231,11,0
"414","Gorman Thomas","R",74,0.225,268,0
"415","Paul Dade","R",73,0.27,10,0
"416","Darrell Porter","L",72,0.247,188,0
"417","Tim Johnson","L",73,0.223,0,0
"418","Fred Stanley","R",70,0.216,10,0
"419","Larry Bowa","B",70,0.26,15,0
"420","Tim Corcoran","L",71,0.27,12,0
"421","Jim Spencer","L",74,0.25,146,0
"422","Pete LaCock","L",74,0.257,27,0
"423","Carl Morton","R",72,0.156,7,0
"424","Gary Gray","R",72,0.24,24,0
"425","Matty Alou","L",69,0.307,31,0
"426","Jim Dwyer","L",70,0.26,77,0
"427","Dalton Jones","L",73,0.235,41,0
"428","Rennie Stennett","R",71,0.274,41,0
"429","Jerry May","R",74,0.234,15,0
"430","Rich McKinney","R",71,0.225,20,0
"431","Clint Hurdle","L",75,0.259,32,0
"432","Mike Andrews","R",75,0.258,66,0
"433","Bobby Clark","R",72,0.239,19,0
"434","Cliff Johnson","R",76,0.258,196,0
"435","Donn Clendenon","R",76,0.274,159,0
"436","Charlie James","R",73,0.255,29,0
"437","Bob Horner","R",73,0.277,218,0
"438","Tom Veryzer","R",73,0.241,14,0
"439","George Smith","R",70,0.205,9,0
"440","Jim Essian","R",74,0.244,33,0
"441","Onix Concepcion","R",66,0.239,3,0
"442","Boots Day","L",69,0.256,8,0
"443","Brian Giles","R",73,0.228,10,0
"444","Garry Maddox","R",75,0.285,117,0
"445","Alex Trevino","R",70,0.249,23,0
